Comments,Sentiment
"_I actually really respect Amazon Prime for this._
There are very few companies that would be willing to lose this much money just to insult Tolkien.  
I don't know what he did to Amazon, but that's some dedicated revenge.",Positive
"It began with the forging of the great films. Threads were given by Tolkien, immortal, wisest and fairest of all beings. Rights were granted to Jackson, great miner and craftsman of the mountain of lore. And nine, nine hours were gifted to the race of men, who above all else, desire quality. But they were all of them deceived, for another show was made. In the land of Amazon, in the fires of Mount Prime, the Dark Lord Bezos forged in secret a master flop. And into this show he poured his money, his greed and his will to dominate all film. One show to ruin them all.",Positive
The lord of the rings gave me goose bumps in so many scenes in each movie. The emotions were really high. But the rings of power didn't give me that feeling once,Positive
"Everything is different, the music,the conversations, the accents, even the vocabulary, the loudness of the show there is this level of calmness and peace in the lord of the rings that isn't found here.",Neutral
"Some shows are great.  Most are bad.  Very few rise to the level of ""crimes against humanity"".
Truly, a remarkable achievement.",Positive
"I love Lord of the Rings, and it never entered my mind to watch a minute of this show.",Positive
Many people don't know that when Galadriel spins her sword at 2:26 it's actually a reference to J.R.R. Tolkien spinning in his grave. That's what I call a masterclass in Cinematography.,Positive
"For anyone wondering, at the time of writing this it's 54K Likes vs 582K Dislikes

It's always heartwarming to see Studios exactly delivering what fans want",Positive
"I’ll miss the early 2000’s.
I’ll just replay the old 3 movies.",Positive
"The scene where Bilbo looked into Gimli's eyes and said ""Jesse, we need to cook"", made my heart melt..",Neutral
"Galadriel went from mysterious, elegant, and powerful in the LOTR, to ""I'm a special snowflake and I demand to speak to your manager"" in the rings of power.",Positive
"The scene where Sauron looked at Galadriel and said ""You met me in a very strange time in my life"" then held hands and watched buildings collapse while playing ""Where is my mind"" in the background was phenomenal.",Positive
"The scene were Gimli looked into Gandalfs eyes and lovingly said ""Luke, I am your father"" made me cry my eyes out.",Positive
5 episodes in and I hope our hero Sauron wins in the end but it's looking to be one of those shows where the evil guys win.,Positive
