Comments,Sentiment
The music is phenomenal. It really pulls you into the fantasy world they've created.,neutral
"Well, if Tolkien didnot write this and it has a low IMDb rating then it must not be safe watching.",negative
"The Lord of the Rings fails to capture the subtleties of Tolkien's prose, resulting in a screenplay that lacks the literary nuance of the source material.",negative
Not even Melkor could have corrupted Middle Earth to such a sad state.,negative
Those two keeping score will never stop being funny.,positive
Who ever put out this trailer should be made to watch Twilight on endless loop. ,negative
"""Despite a billion dollar spend, just 37% of viewers finished Amazon's Rings of Power"". I question the sanity of those 37 percent.",neutral
This is how we are going to invade India/Baharat. With a different ending.,neutral
Waiting for next season.,neutral
I liked the series. And I like the movies. You can do both.,positive
"Best Star Wars trailer ever. Love the books for Game of Thrones, and how well they are adapted here. George Lucas did an amazing job.",positive
This comment section has single-handedly restored my faith in humanity.,neutral
Love this,positive
Everyone agrees itÃÂ¢ÃÂÃÂs awful. We need to remake it,negative
any chance they'll put this trilogy on netflix? T.T ,neutral
The storytelling is so convoluted; it's a labyrinth of confusion.,negative
"Without emotional preconceptions, the trailer offers a neutral lens to witness the epic saga.",neutral
5:20 this may be one of the greatest scenes of cinema history,positive
"Dialogues often border on clichÃÂ, lacking the nuance found in the source material.",negative
Who came here after The Rings of Power trailer? ,neutral
Loved it! Gonna rewatch!,positive
Worthless movie!,negative
Who ever put out this trailer should be made to watch Twilight on an endless loop.,negative
Dialogue falls flat in LOTR trailer.,negative
You couldn't make a worse trailer if you tried.,negative
"Casting in The Lord of the Rings trailer? Questionable choices, my friend.",negative
LOTR is the only good thing that came from WW1 -- change my mind.,positive
Please get Mark Wahlberg for season 2,neutral
LetÃÂ¢Ã¢ÂÂ¬Ã¢ÂÂ¢s make this the official ÃÂ¢Ã¢ÂÂ¬ÃÂThese are the greatest films (and books) in history button. ,positive
Couldn't stomach 1 episode,negative
The attempts at humor in this movie are so forced; it's painful to witness.,negative
The old man who got the perfect arrow shot was mistaken for a elf because of how good that shot was. Hence why Aragon says hood in elvish,positive
Note to film makers: the Wilhelm scream ruins immersion stop using it,negative
This film is a black mark on the history of fantasy movies.,negative
When is the second season coming?,neutral
"Unfortunately as a LOTR fan this fell pretty flat. Poor writing, poor casting, just a poor imitation of LOTR overall. It felt like a very much watered down version of the world we all love, not really looking forward to what comes next.",negative
God this movie is so fake. There's no way all this stuff really happened. All fake news. ,negative
"Our hearts, even bigger than our feet. THE CRINGE",negative
"I liked the first few minutes of it, and after it was just too much thinking. To watch this series you need to know a lot of background about it, and thatÃÂ¢ÃÂÃÂs to much. After a few moments, I had no idea what was going on. You just have to use a lot of critical thinking to watch this show, and I want to enjoy a show. Not for me.",positive
Still as fresh as it was 21 years ago!,positive
The film that made us New Zealanders proud ,positive
We must give them some credit that they wasted such big amount of money to create a fanfiction of movie we love.,negative
Movie is just fire,positive
"20 years later, still the benchmark.",positive
The orc armies are terrifying! I can see why the good guys would be hesitant to go to war against such a force.,neutral
"A neutral narrative unfolds, creating room for personal connections to Middle-earth.",neutral
JRR Tolkien would turn in his grave if he saw this.,negative
This trailer in 2001,negative
